Reporting Month,County,State,Residential Closings,Source
2012-07,Montgomery,Tennessee,279,Redfin County Market Tracker
2012-08,Montgomery,Tennessee,266,Redfin County Market Tracker
2012-09,Montgomery,Tennessee,213,Redfin County Market Tracker
2012-10,Montgomery,Tennessee,252,Redfin County Market Tracker
2012-11,Montgomery,Tennessee,216,Redfin County Market Tracker
2012-12,Montgomery,Tennessee,239,Redfin County Market Tracker
2013-01,Montgomery,Tennessee,152,Redfin County Market Tracker
2013-02,Cheatham,Tennessee,29,Redfin County Market Tracker
2013-02,Davidson,Tennessee,654,Redfin County Market Tracker
2013-02,Dickson,Tennessee,25,Redfin County Market Tracker
2013-02,Maury,Tennessee,92,Redfin County Market Tracker
2013-02,Montgomery,Tennessee,212,Redfin County Market Tracker
2013-02,Robertson,Tennessee,52,Redfin County Market Tracker
2013-02,Rutherford,Tennessee,312,Redfin County Market Tracker
2013-02,Sumner,Tennessee,183,Redfin County Market Tracker
2013-02,Williamson,Tennessee,250,Redfin County Market Tracker
2013-02,Wilson,Tennessee,129,Redfin County Market Tracker
2013-03,Cheatham,Tennessee,32,Redfin County Market Tracker
2013-03,Davidson,Tennessee,886,Redfin County Market Tracker
2013-03,Dickson,Tennessee,38,Redfin County Market Tracker
2013-03,Maury,Tennessee,121,Redfin County Market Tracker
2013-03,Montgomery,Tennessee,242,Redfin County Market Tracker
2013-03,Robertson,Tennessee,77,Redfin County Market Tracker
2013-03,Rutherford,Tennessee,433,Redfin County Market Tracker
2013-03,Sumner,Tennessee,256,Redfin County Market Tracker
2013-03,Williamson,Tennessee,380,Redfin County Market Tracker
2013-03,Wilson,Tennessee,207,Redfin County Market Tracker
2013-04,Cheatham,Tennessee,46,Redfin County Market Tracker
2013-04,Davidson,Tennessee,1026,Redfin County Market Tracker
2013-04,Dickson,Tennessee,46,Redfin County Market Tracker
2013-04,Maury,Tennessee,113,Redfin County Market Tracker
2013-04,Montgomery,Tennessee,262,Redfin County Market Tracker
2013-04,Robertson,Tennessee,88,Redfin County Market Tracker
2013-04,Rutherford,Tennessee,446,Redfin County Market Tracker
2013-04,Sumner,Tennessee,270,Redfin County Market Tracker
2013-04,Williamson,Tennessee,427,Redfin County Market Tracker
2013-04,Wilson,Tennessee,205,Redfin County Market Tracker
2013-05,Cheatham,Tennessee,52,Redfin County Market Tracker
2013-05,Davidson,Tennessee,1143,Redfin County Market Tracker
2013-05,Dickson,Tennessee,38,Redfin County Market Tracker
2013-05,Maury,Tennessee,142,Redfin County Market Tracker
2013-05,Montgomery,Tennessee,330,Redfin County Market Tracker
2013-05,Robertson,Tennessee,74,Redfin County Market Tracker
2013-05,Rutherford,Tennessee,472,Redfin County Market Tracker
2013-05,Sumner,Tennessee,295,Redfin County Market Tracker
